event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
1d3555ab8984661ceaf5fe2bb50e1609,soccer_germany_dfb_pokal,Bayer Leverkusen,Bayern Munich,2026-04-22 18:45:00+00:00,2026-04-16 19:00:24.035599+00:00,143.74,19,4.3558,0.172,4.0,4.7,1.5984,0.025,4.3926,0.2296,0.6256,0.2277,0.212,0.5778,0.2102,0.0829,0.172,,,3.5,1.8511111111111112
a0bd537cf28e4be0534c213ed082064f,soccer_germany_dfb_pokal,VfB Stuttgart,SC Freiburg,2026-04-23 18:45:00+00:00,2026-04-16 19:00:24.035599+00:00,167.74,19,1.5916,0.0239,1.55,1.62,4.8158,0.1834,4.0158,0.6283,0.2077,0.249,0.5791,0.1914,0.2295,0.085,0.0239,,,3.1666666666666665,2.2377777777777776
