event_id,sport_key,home_team,away_team,commence_time,completed,last_update,score_name,score_value
1d3555ab8984661ceaf5fe2bb50e1609,soccer_germany_dfb_pokal,Bayer Leverkusen,Bayern Munich,2026-04-22T18:45:00Z,False,,,
a0bd537cf28e4be0534c213ed082064f,soccer_germany_dfb_pokal,VfB Stuttgart,SC Freiburg,2026-04-23T18:45:00Z,False,,,
